timestamp,elapsed_time,user_time,sys_time,cpu_usage,max_memory,major_faults,minor_faults,voluntary_switches,involuntary_switches,number_of_iterations
2024-09-19 14:50:28,0.00,0.00,0.00,75%,840,0,403,2,0,1
2024-09-19 14:50:33,0.01,0.00,0.00,91%,840,0,405,31,0,10
2024-09-19 14:50:38,0.08,0.07,0.00,97%,860,0,410,46,0,100
2024-09-19 14:50:42,0.95,0.83,0.06,94%,860,0,410,1495,0,1000
2024-09-19 14:50:47,7.98,7.65,0.30,99%,860,0,413,1739,0,10000
2024-09-19 14:51:01,80.41,77.07,3.04,99%,860,0,410,23002,0,100000
2024-09-25 17:38:02,0.34,0.00,0.00,1%,840,15,390,7,2,1,./rustengine_1point1,the-champion.txt
