timestamp,elapsed_time,user_time,sys_time,cpu_usage,max_memory,major_faults,minor_faults,voluntary_switches,involuntary_switches,number_of_iterations
2024-09-19 16:20:56,0.32,0.00,0.00,1%,844,0,409,5,2,1
2024-09-19 16:21:10,0.01,0.01,0.00,68%,868,28,387,35,1,10
2024-09-19 16:21:14,0.07,0.07,0.00,96%,844,0,409,61,0,100
2024-09-19 16:21:20,0.75,0.74,0.00,99%,872,0,416,423,0,1000
2024-09-19 16:21:26,7.39,7.33,0.01,99%,884,0,419,3816,0,10000
2024-09-19 16:21:39,73.65,73.11,0.15,99%,872,0,416,33648,3,100000
