timestamp,elapsed_time,user_time,sys_time,cpu_usage,max_memory,major_faults,minor_faults,voluntary_switches,involuntary_switches,number_of_iterations
2024-09-20 10:01:36,0.00,0.00,0.00,71%,504,0,319,7,0,1
2024-09-20 10:01:42,0.04,0.03,0.00,95%,504,0,319,33,0,10
2024-09-20 10:01:46,0.36,0.34,0.00,99%,516,0,322,61,0,100
2024-09-20 10:01:51,3.55,3.47,0.07,99%,484,0,317,997,0,1000
2024-09-20 10:01:58,35.39,34.43,0.65,99%,484,0,317,8304,0,10000
2024-09-20 10:02:43,345.18,339.24,5.56,99%,484,0,314,39698,0,100000
